ticker,fold,start_date,end_date,MAE,MAPE (%),Direction Acc (%),n
0700.HK,1,2024-08-01,2024-12-16,5.3989,1.34,47.9,94
0700.HK,2,2024-12-17,2025-05-12,8.5855,1.89,54.3,94
0700.HK,3,2025-05-13,2025-09-22,5.6288,1.02,53.2,94
0700.HK,4,2025-09-23,2026-02-09,7.683,1.26,45.7,94
0700.HK,5,2026-02-10,2026-07-03,8.8833,1.85,39.4,94
RELIANCE.NS,1,2024-08-09,2024-12-26,12.9625,0.97,48.4,95
RELIANCE.NS,2,2024-12-27,2025-05-16,14.4545,1.14,53.7,95
RELIANCE.NS,3,2025-05-19,2025-09-29,11.2832,0.8,47.9,94
RELIANCE.NS,4,2025-09-30,2026-02-13,12.1888,0.83,50.0,94
RELIANCE.NS,5,2026-02-16,2026-07-02,15.5041,1.15,44.7,94
BTC-USD,1,2024-07-30,2024-12-18,1468.5918,2.03,53.5,142
BTC-USD,2,2024-12-19,2025-05-09,1729.9307,1.9,50.0,142
BTC-USD,3,2025-05-10,2025-09-28,1313.9984,1.18,50.0,142
BTC-USD,4,2025-09-29,2026-02-16,1722.4477,1.89,46.8,141
BTC-USD,5,2026-02-17,2026-07-07,1141.0296,1.64,48.2,141
ETH-USD,1,2024-11-04,2025-03-06,93.0335,3.01,50.4,123
ETH-USD,2,2025-03-07,2025-07-06,57.4838,2.69,49.2,122
ETH-USD,3,2025-07-07,2025-11-05,110.3973,2.75,54.9,122
ETH-USD,4,2025-11-06,2026-03-07,72.0537,2.73,44.3,122
ETH-USD,5,2026-03-08,2026-07-07,40.5791,2.02,51.6,122
SOL-USD,1,2025-04-29,2025-07-24,4.332,2.67,54.0,87
SOL-USD,2,2025-07-25,2025-10-19,6.8706,3.45,52.9,87
SOL-USD,3,2025-10-20,2026-01-14,3.8752,2.65,43.7,87
SOL-USD,4,2026-01-15,2026-04-11,2.9216,3.13,43.7,87
SOL-USD,5,2026-04-12,2026-07-07,1.7448,2.23,43.7,87
BNB-USD,1,2024-11-04,2025-03-06,14.0375,2.13,52.0,123
BNB-USD,2,2025-03-07,2025-07-06,9.0158,1.46,54.9,122
BNB-USD,3,2025-07-07,2025-11-05,23.2806,2.36,58.2,122
BNB-USD,4,2025-11-06,2026-03-07,15.5988,1.99,45.9,122
BNB-USD,5,2026-03-08,2026-07-07,9.5255,1.53,51.6,122
